Deployment ID,Raw file name format,Raw file time resolution,Sample type
NA,NA,NA,Instantaneous/Average
RGS_0,9178745_YYYY_MM_DD.txt,1min,average
RGS_1,../microlite/%m/9178745_%Y-%m-%d.txt,1min,average
RGS_2,../microlite/%m/9178733_%Y-%m-%d.txt,1min,average
RGS_3,CeilometerY/%m/Y%q%m%d%H.DAT,30,average
RGS_4,CeilometerB/%m/B%q%m%d%H.DAT,15,average
RGS_5,CeilometerB/%m/B%q%m%d%H.DAT,15,average
RGS_6,,30 min,instantaneous
RGS_7,,30 min,instantaneous
RGS_8,,30 min,instantaneous
RGS_9,WSN/%m/%d/%Y%m%d_node3.csv,30 min,instantaneous
RGS_10,WSN/%m/%d/%Y%m%d_node4.csv,30 min,instantaneous
RGS_11,CeilometerD/%m/D%q%m%d%H.DAT,15sec,average
RGS_12,WSN/%m/%d/%Y%m%d_node5.csv,15 min,instantaneous
RGS_13,CeilometerX/%m/X%q%m%d%H.DAT,30,average
