Deployment ID,Raw file name format,Raw file time resolution,Sample type
NA,NA,NA,Instantaneous/Average
SWT_0,CeilometerQ/%m/Q%q%m%d%H.DAT,30,average
SWT_1,BLS/Daily/%m/Mnd/%Y-%m-%d.mnd,60s,average
SWT_3,RAD/%m/rad%Y%DOY_%H.txt,15min,
SWT_4,LASMkII_28/Fast/%m/LASMkII-28_Fast_%Y%DOY.dat,10Hz,instantaneous
SWT_5,CeilometerD/%m/D%q%m%d%H.DAT,15,average
SWT_6,MetData/%m/%Y%m%d_SWT_MetData.dat,1min,average
SWT_7,WeatherStation/Weather_Data_%Y.csv,1min,average
SWT_8,MetData/%m/%Y%m%d_SWT_MetData.dat,1min,average
SWT_9,WeatherStation/Weather_Data_%Y.csv,1min,average
SWT_10,MetData/%m/%Y%m%d_SWT_MetData.dat,1min,average
SWT_11,WeatherStation/Weather_Data_%Y.csv,1min,average
SWT_12,MetData/%m/%Y%m%d_SWT_MetData.dat,1min,average
SWT_13,WeatherStation/Weather_Data_%Y.csv,1min,average
