Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
beta,height normalised backscatter,10-8.m-1.sr-1,,,"CL31_BSC,1,15sec"
beta_tR,smoothed backscatter in height and time,10-8.m-1.sr-1,,,"CL31_BSC,1,15sec"
BG_light,background light,mV,0.0,,"CL31_CLD,0,15sec"
BSC,height normalised backscatter,10-8.m-1.sr-1,,,"CL31_BSC,0,3sec"
BSC_sum,sum of detected normalised backscatter,10-8.m-1.sr-1,,,"CL31_CLD,0,15sec"
CBH,Cloud Base Height,m,0.0,,"CL31_CCW30,1,15min"
CC_high,high cloud amount,%,0.0,100.0,"CL31_CCW30,1,15min"
CC_low,low cloud amount,%,0.0,100.0,"CL31_CCW30,1,15min"
CC_medium,medium cloud amount,%,0.0,100.0,"CL31_CCW30,1,15min"
CLD_Cover_sc_L1,cloud cover sky condition level 1,oktas,0.0,8.0,"CL31_CLD,0,15sec"
CLD_Cover_sc_L2,cloud cover sky condition level 2,oktas,0.0,8.0,"CL31_CLD,0,15sec"
CLD_Cover_sc_L3,cloud cover sky condition level 3,oktas,0.0,8.0,"CL31_CLD,0,15sec"
CLD_Cover_sc_L4,cloud cover sky condition level 4,oktas,0.0,8.0,"CL31_CLD,0,15sec"
CLD_Cover_sc_L5,cloud cover sky condition level 5,oktas,0.0,8.0,"CL31_CLD,0,15sec"
CLD_Height_L1,cloud height level 1,m a.s.l.,0.0,,"CL31_CLD,0,15sec"
CLD_Height_L2,cloud height level 2,m a.s.l.,0.0,,"CL31_CLD,0,15sec"
CLD_Height_L3,cloud height level 3,m a.s.l.,0.0,,"CL31_CLD,0,15sec"
CLD_Height_sc_L1,cloud height sky condition level 1,m a.s.l.,0.0,,"CL31_CLD,0,15sec"
CLD_Height_sc_L2,cloud height sky condition level 2,m a.s.l.,0.0,,"CL31_CLD,0,15sec"
CLD_Height_sc_L3,cloud height sky condition level 3,m a.s.l.,0.0,,"CL31_CLD,0,15sec"
CLD_Height_sc_L4,cloud height sky condition level 4,m a.s.l.,0.0,,"CL31_CLD,0,15sec"
CLD_Height_sc_L5,cloud height sky condition level 5,m a.s.l.,0.0,,"CL31_CLD,0,15sec"
CLD_status,cloud_detection_status,dimensionless,,,"CL31_CLD,0,15sec"
clear,Percentage of clear sky within time frame,%,0.0,100.0,"CL31_CCW30,1,15min"
LH_L1,Layer 1 height,m a.s.l.,,,"CL31_MLH,1,15min"
LH_L2,Layer 2 height,m a.s.l.,,,"CL31_MLH,1,15min"
LH_L3,Layer 3 height,m a.s.l.,,,"CL31_MLH,1,15min"
LH_L4,Layer 4 height,m a.s.l.,,,"CL31_MLH,1,15min"
LH_L5,Layer 5 height,m a.s.l.,,,"CL31_MLH,1,15min"
LH_L6,Layer 6 height,m a.s.l.,,,"CL31_MLH,1,15min"
MH,Mixing height,m,,,"CL31_MLH,1,15min"
nSamples,nSamples,samples/interval,,,"CL31_CCW30,1,15min"
pulse,laser pulse energy,%,0.0,,"CL31_CLD,0,15sec CL31_CCW30,1,15min"
rain,Rain CL31,%,,,"CL31_MLH,1,15min"
sd_LH_L1,Standard deviation layer 1 height,m,,,"CL31_MLH,1,15min"
sd_LH_L2,Standard deviation layer 2 height,m,,,"CL31_MLH,1,15min"
sd_LH_L3,Standard deviation layer 3 height,m,,,"CL31_MLH,1,15min"
sd_LH_L4,Standard deviation layer 4 height,m,,,"CL31_MLH,1,15min"
sd_LH_L5,Standard deviation layer 5 height,m,,,"CL31_MLH,1,15min"
sd_LH_L6,Standard deviation layer 6 height,m,,,"CL31_MLH,1,15min"
sd_MLH,Standard deviation mixing height,m,,,"CL31_MLH,1,15min"
SNR,Signal to Noise Ratio,dimensionless,,,"CL31_BSC,1,15sec"
tilt,tilt angle,degree,,,"CL31_CLD,0,15sec CL31_CCW30,1,15min"
Tlaser,laser temperature,Celsius,,,"CL31_CLD,0,15sec CL31_CCW30,1,15min"
transmission,window transmission,%,0.0,,"CL31_CLD,0,15sec CL31_CCW30,1,15min"
vis_z,vertical_visibility,m a.s.l.,,,"CL31_CLD,0,15sec CL31_CCW30,1,15min"
vis_z_max,maximum visibility,m a.s.l.,0.0,,"CL31_CLD,0,15sec"
