Ouput definition ID,File Identifier,Level Number,QAQC notes,File time resolution
LI7500A,Li7500_%SITE,0,None,10Hz
LI7500A,Li7500_%SITE,0,None,30min
LI7500A,Li7500_%SITE,1,QAQC,10Hz
LI7500A,Li7500_%SITE,1,QAQC,30min
LI7500A,Li7500_%SITE,2,QAQC_IMAS,10Hz
LI7500A,Li7500_%SITE,2,QAQC_IMAS,30min
Li7500_ECpack,Li7500_ECpack_%SITE,0,No QAQC,30min
Li7500_ECpack,Li7500_ECpack_%SITE,1,QAQC,30min
Li7500_ECpack,Li7500_ECpack_%SITE,2,QAQC,30min
LI7500A_10Hz,Li7500_%SITE,0,No_QAQC,10Hz
LI7500A_10Hz,Li7500_%SITE,1,QAQC,10Hz
LI7500A_10Hz,Li7500_%SITE,2,QAQC,10Hz
