Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
C_CO2,carbon_dioxide_concentration,mmol.m-3,,,"LI7500,0,10Hz LI7500,0,30min LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min LI7500_10Hz,0,10Hz LI7500_10Hz,1,10Hz LI7500_10Hz,2,10Hz"
C_H2O,water_vapour_concentration,mmol.m-3,,,"LI7500,0,10Hz LI7500,0,30min LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min LI7500_10Hz,0,10Hz LI7500_10Hz,1,10Hz LI7500_10Hz,2,10Hz"
CO2_absorp,carbon_dioxide_absorptance,N/A,,,"LI7500,0,10Hz LI7500,0,30min LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min LI7500_10Hz,0,10Hz LI7500_10Hz,1,10Hz LI7500_10Hz,2,10Hz"
diag,diagnostics,N/A,,,"LI7500,0,10Hz LI7500,0,30min LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min LI7500_10Hz,0,10Hz LI7500_10Hz,1,10Hz LI7500_10Hz,2,10Hz"
diag_pct,diagnostics_percentage,%,,,"LI7500,0,10Hz LI7500,0,30min LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min"
FLAG,Status flag,N/A,,,"LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min"
H2O_absorp,water_vapour_absorptance,dimensionless,,,"LI7500,0,10Hz LI7500,0,30min LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min LI7500_10Hz,0,10Hz LI7500_10Hz,1,10Hz LI7500_10Hz,2,10Hz"
imas,imas flag,N/A,,,"LI7500_10Hz,2,10Hz"
imas_pct,identification_microscale_anthropogenic_sources,%,,,"LI7500,2,10Hz LI7500,2,30min"
nSamples,nSamples,samples/interval,,,"LI7500,0,10Hz LI7500,0,30min LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min"
sd_C_CO2,standard_deviation_CO2,mmol.m-3,,,"LI7500,0,10Hz LI7500,0,30min LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min"
sd_C_H2O,standard_deviation_H2O,mmol.m-3,,,"LI7500,0,10Hz LI7500,0,30min LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min"
sd_CO2_absorp,standard_deviation_CO2_absorp,N/A,,,"LI7500,0,10Hz LI7500,0,30min LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min"
sd_H2O_absorp,standard_deviation_H2O_absorp,N/A,,,"LI7500,0,10Hz LI7500,0,30min LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min"
spike,spike_flag,N/A,,,"LI7500_10Hz,1,10Hz LI7500_10Hz,2,10Hz"
spike_pct,spike_percentage,%,,,"LI7500,1,10Hz LI7500,1,30min LI7500,2,10Hz LI7500,2,30min"
