Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
cov_uTsonic,covariance_uTsonic,m.K.s-1,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
cov_uv,covariance_uv,m2.s-2,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
cov_uw,covariance_uw,m2.s-2,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
cov_vTsonic,covariance_vTsonic,m.K.s-1,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
cov_vw,covariance_vw,m2.s-2,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
cov_wTsonic,covariance_wTsonic,m.K.s-1,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
diag,diagnostics,N/A,,,"GILL121R03,0,30min GILL121R03,1,30min GILL121R03,2,30min GILL121R03_10Hz,0,10Hz GILL121R03_10Hz,1,10Hz GILL121R03_10Hz,2,10Hz"
diag_pct,diagnostics_percentage,%,,,"GILL121R03,0,30min GILL121R03,1,30min GILL121R03,2,30min"
dir,wind_direction,degree,0.0,360.0,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
FLAG,Status flag,N/A,,,"GILL121R03,1,30min GILL121R03,2,30min GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
imas,imas flag,N/A,,,"GILL121R03_10Hz,2,10Hz"
imas_pct,identification_microscale_anthropogenic_sources,%,,,"GILL121R03,2,30min"
L,Obukhov_length,m,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
nSamples,nSamples,samples/interval,,,"GILL121R03,0,30min GILL121R03,1,30min GILL121R03,2,30min GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
Q_H,upward_turbulent_sensible_heat_flux,W.m-2,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
sd_Tsonic,standard_deviation_Tsonic,Celsius,,,"GILL121R03,0,30min GILL121R03,1,30min GILL121R03,2,30min GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
sd_u,standard_deviation_u,m.s-1,,,"GILL121R03,0,30min GILL121R03,1,30min GILL121R03,2,30min GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
