Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
Cn2,refractive_index_structure_parameter,m-2/3,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
cor_c,correlation_of_X_Y,dimensionless,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
correctCn2Cov,Cn2_correction_factor_saturation_cov,dimensionless,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
correctCn2EO,Cn2_correction_factor_extinction_outer_scale,dimensionless,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
correctCn2Sat,Cn2_correction_factor_saturation,dimensionless,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
crosswind,crosswind,m.s-1,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
CT2,temperature_structure_parameter,K-2m^2/3,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
CT2_BLS,BLS_temperature_structure_parameter,K-2m^2/3,,,"BLS,1,1min BLS,1,15min BLS,1,30min"
error,error,N/A,,,"BLS,0,1min BLS,0,15min BLS,0,30min"
FLAG,Status flag,N/A,,,"BLS,1,1min BLS,1,15min BLS,1,30min"
H_convection,Heat_flux_free_convection,W.m-2,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
nSamples,nSamples,samples/interval,,,"BLS,1,1min BLS,1,15min BLS,1,30min"
numDgnTotal,total_number_of_diagnosis_subperiods_measured,dimensionless,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
numDgnValid,num_valid_diagnosis_subperiods_included,dimensionless,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
numDgnValidCrosswind,num_valid_diagnosis_subperiods_included_crosswind,dimensionless,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
Q_H,upward_turbulent_sensible_heat_flux,W.m-2,,,"BLS,1,1min BLS,1,15min BLS,1,30min"
Q_H_db,upward_turbulent_sensible_heat_flux_de_bruin_method,W.m-2,,,"BLS,1,1min BLS,1,15min BLS,1,30min"
Q_H_fc,upward_turbulent_sensible_heat_flux_free_convection_method,W.m-2,,,"BLS,1,1min BLS,1,15min BLS,1,30min"
sigCrosswind,standard_deviation_crosswind,m.s-1,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
sigXn_c,standard_deviation_of_X_intensity,dimensionless,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
sigYn_c,standard_deviation_of_Y_intensity,dimensionless,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
X_c,average_X_intensity_corrected,dimensionless,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
Y_c,average_Y_intensity_corrected,dimensionless,,,"BLS,0,1min BLS,0,15min BLS,0,30min BLS,1,1min BLS,1,15min BLS,1,30min"
