Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
dir,wind_direction,degree,0.0,360.0,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
dir_max,Wind direction maximum,degree,0.0,360.0,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
dir_min,Wind direction minimum,degree,0.0,360.0,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
FLAG,Status flag,N/A,,,"WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
hail_acc,hail_accumulation,hits.cm-2,,,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
hail_dur,hail_duration,s,,,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
hail_int,hail rate,hits.cm-2.h-1,,,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
nSamples,nSamples,samples/interval,,,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
press,barometric_pressure,hPa,800.0,1200.0,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
rain_acc,Rain accumulation over file interval period,mm,0.0,3.0,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
rain_dur,rain_duration,s,,,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
RH,relative_humidity,%,0.0,100.0,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
RR,rain_rate,mm.h-1,0.0,5400.0,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
sd_press,Standard deviation barometric pressure,hPa,,,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
sd_RH,Standard deviation relative humidity,%,,,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
sd_Tair,Standard deviation air temperature,Celsius,,,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
sd_WS,Horizontal wind speed standard deviation,m.s-1,,,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
Tair,air_temperature,Celsius,-30.0,50.0,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
WS,horizontal_wind_speed,m.s-1,0.0,150.0,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
WS_max,Horizontal wind speed maximum,m.s-1,0.0,50.0,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
WS_min,Horizontal wind speed minimum,m.s-1,0.0,50.0,"WXT,0,1min WXT,0,5min WXT,0,15min WXT,0,30min WXT,1,1min WXT,1,5min WXT,1,15min WXT,1,30min"
