Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
C_CO2_ppm,carbon_dioxide_concentration,ppm,,,"Li840,0,2Hz Li840,0,1min"
C_H20_ppt,water_vapour_concentration,ppt,,,"Li840,0,2Hz Li840,0,1min"
Cellpress,LiCor_cell_pressure,hPa,,,"Li840,0,2Hz Li840,0,1min"
CellT,LiCor_cell_temperature,Celsius,,,"Li840,0,2Hz Li840,0,1min"
CO2_abs,carbon_dioxide_absorption_Li840,ppm,,,"Li840,0,2Hz Li840,0,1min"
CO2_raw,raw_carbon_dioxide_concentration,ppm,,,"Li840,0,2Hz Li840,0,1min"
CO2_ref,ref_carbon_dioxide_concentration,ppm,,,"Li840,0,2Hz Li840,0,1min"
H20_abs,water_absorption_Li840,ppt,,,"Li840,0,2Hz Li840,0,1min"
H20_raw,raw_water_vapour_concentration,ppt,,,"Li840,0,2Hz Li840,0,1min"
H20_ref,ref_water_vapour_concentration,ppt,,,"Li840,0,2Hz Li840,0,1min"
iVolt,input_voltage,microvolt,,,"Li840,0,2Hz Li840,0,1min"
num_points,number_of_points_in_average_value,N/A,,,"Li840,0,2Hz Li840,0,1min"
Tdew,dewpoint_temperature,Celsius,,,"Li840,0,2Hz Li840,0,1min"
valveid,valve_identification,N/A,,,"Li840,0,2Hz Li840,0,1min"
