eprint_id,Reference,year
100639,"Biggart, M., Stocker, J., Doherty, R. M., Wild, O., Carruthers, D., Grimmond, S., Han, Y., Fu, P. and Kotthaus, S. (2021) Modelling spatiotemporal variations of the canopy layer urban heat island in Beijing at the neighbourhood scale. Atmospheric Chemistry and Physics, 21 (17). pp. 13687-13711. ISSN 1680-7324 doi: https://doi.org/10.5194/acp-21-13687-2021",2021
95959,"Joshi, R., Liu, D., Nemitz, E., Langford, B., Mullinger, N., Squires, F., Lee, J., Wu, Y., Pan, X., Fu, P., Kotthaus, S., Grimmond, S., Zhang, Q., Wu, R., Wild, O., Flynn, M., Coe, H. and Allan, J. (2021) Direct measurements of black carbon fluxes in central Beijing using the eddy covariance method. Atmospheric Chemistry and Physics, 21 (1). pp. 147-162. ISSN 1680-7324 doi: https://doi.org/10.5194/acp-21-147-2021",2021
95950,"Hamilton, J. F., Bryant, D. J., Edwards, P. M., Ouyang, B., Bannan, T. J., Mehra, A., Mayhew, A. W., Hopkins, J. R., Dunmore, R. E., Squires, F. A., Lee, J. D., Newland, M. J., Worrall, S. D., Bacak, A., Coe, H., Percival, C., Whalley, L. K., Heard, D. E., Slater, E. J., Jones, R. L., Cui, T., Surratt, J. D., Reeves, C. E., Mills, G. P., Grimmond, S., Sun, Y., Xu, W., Shi, Z. and Rickard, A. R. (2021) Key role of NO3 radicals in the production of isoprene nitrates and nitrooxyorganosulfates in Beijing. Environmental Science and Technology, 55 (2). pp. 842-853. ISSN 1520-5851 doi: https://doi.org/10.1021/acs.est.0c05689",2021
97965,"Wang, W., Shao, L., Mazzoleni, C., Li, Y., Kotthaus, S., Grimmond, S., Bhandari, J., Xing, J., Feng, X., Zhang, M. and Shi, Z. (2021) Measurement report: comparison of wintertime individual particles at ground level and above the mixed layer in urban Beijing. Atmospheric Chemistry and Physics, 21 (7). pp. 5301-5314. ISSN 1680-7316 doi: https://doi.org/10.5194/acp-21-5301-2021",2021
97216,"Whalley, L. K., Slater, E. J., Woodward-Massey, R., Ye, C., Lee, J. D., Squires, F., Hopkins, J. R., Dunmore, R. E., Shaw, M., Hamilton, J. F., Lewis, A. C., Mehra, A., Worrall, S. D., Bacak, A., Bannan, T. J., Coe, H., Percival, C. J., Ouyang, B., Jones, R. L., Crilley, L. R., Kramer, L. J., Bloss, W. J., Vu, T., Kotthaus, S., Grimmond, S., Sun, Y., Xu, W., Yue, S., Ren, L., Acton, W. J. F., Hewitt, C. N., Wang, X., Fu, P. and Heard, D. E. (2021) Evaluating the sensitivity of radical chemistry and ozone formation to ambient VOCs and NOₓ in Beijing. Atmospheric Chemistry and Physics, 21 (3). pp. 2125-2147. ISSN 1680-7316 doi: https://doi.org/10.5194/acp-21-2125-2021",2021
97964,"Reeves, C. E., Mills, G. P., Whalley, L. K., Acton, W. J. F., Bloss, W. J., Crilley, L. R., Grimmond, S., Heard, D. E., Hewitt, C. N., Hopkins, J. R., Kotthaus, S., Kramer, L. J., Jones, R. L., Lee, J. D., Liu, Y., Ouyang, B., Slater, E., Squires, F., Wang, X., Woodward-Massey, R. and Ye, C. (2021) Observations of speciated isoprene nitrates in Beijing: implications for isoprene chemistry. Atmospheric Chemistry and Physics, 21 (8). pp. 6315-6330. ISSN 1680-7316 doi: https://doi.org/10.5194/acp-21-6315-2021",2021
98435,"Duan, Z., Grimmond, S., Gao, C. Y., Sun, T., Liu, C., Wang, L., Li, Y. and Gao, Z. (2021) Seasonal and interannual variations in the surface energy fluxes of a rice–wheat rotation in Eastern China. Journal of Applied Meteorology and Climatology. ISSN 1558-8432 doi: https://doi.org/10.1175/jamc-d-20-0233.1",2021
91221,"Biggart, M., Stocker, J., Doherty, R. M., Wild, O., Hollaway, M., Carruthers, D., Li, J., Zhang, Q., Wu, R., Kotthaus, S., Grimmond, S., Squires, F. A., Lee, J. and Shi, Z. (2020) Street-scale air quality modelling for Beijing during a winter 2016 measurement campaign. Atmospheric Chemistry and Physics, 20 (5). pp. 2755-2780. ISSN 1680-7324 doi: https://doi.org/10.5194/acp-20-2755-2020",2020
92334,"Hertwig, D., Grimmond, S., Kotthaus, S., Vanderwel, C., Gough, H., Haeffelin, M. and Robins, A. (2020) Variability of physical meteorology in urban areas at different scales: implications for air quality. Faraday Discussions. ISSN 1364-5498 doi: https://doi.org/10.1039/D0FD00098A",2020
93373,"Squires, F. A., Nemitz, E., Langford, B., Wild, O., Drysdale, W. S., Acton, W. J. F., Fu, P., Grimmond, C. S. B., Hamilton, J. F., Hewitt, C. N., Hollaway, M., Kotthaus, S., Lee, J., Metzger, S., Pingintha-Durden, N., Shaw, M., Vaughan, A. R., Wang, X., Wu, R., Zhang, Q. and Zhang, Y. (2020) Measurements of traffic-dominated pollutant emissions in a Chinese megacity. Atmospheric Chemistry and Physics, 20 (14). pp. 8737-8761. ISSN 1680-7316 doi: https://doi.org/10.5194/acp-20-8737-2020",2020
81499,"Dou, J., Grimmond, S., Cheng, Z., Miao, S., Feng, D. and Liao, M. (2019) Summertime surface energy balance fluxes at two Beijing sites. International Journal of Climatology, 39 (5). pp. 2793-2810. ISSN 08998418 doi: https://doi.org/10.1002/joc.5989",2019
84382,"Kokkonen, T. V., Grimmond, S., Murto, S., Liu, H., Sundstr�m, A.-M. and J�rvi, L. (2019) Simulation of the radiative effect of haze on the urban hydrological cycle using reanalysis data in Beijing. Atmospheric Chemistry and Physics, 19. pp. 7001-7017. ISSN 1680-7316 doi: https://doi.org/10.5194/acp-19-7001-2019",2019
