Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
NA,NA,NA,NA,NA,UTC,UTC
64,:ref:`MICROLITE`,:ref:`9178730`,indoor,Living room upper,2015-10-29,2015-11-13
110,:ref:`MICROLITE`,:ref:`9178730`,indoor,Cupboard Hall? LHS D,2013-11-04,2013-11-11
123,:ref:`MICROLITE`,:ref:`9178730`,indoor,Living room table,2013-10-22,2013-11-03
186,:ref:`MICROLITE`,:ref:`9178730`,indoor,Living room,2014-07-01,2014-07-05
266,:ref:`MICROLITE`,:ref:`9178730`,indoor,Living room upper - With USB cable attached - sensor in same place,2015-11-14,2016-07-16
292,:ref:`MICROLITE`,:ref:`9178730`,indoor,Living room upper - With USB extension cable,2016-07-17,
65,:ref:`MICROLITE`,:ref:`9178755`,indoor,Living room lower,2015-10-29,2016-01-24
111,:ref:`MICROLITE`,:ref:`9178755`,indoor,Cupboard Hall? LHS E,2013-11-04,2013-11-11
125,:ref:`MICROLITE`,:ref:`9178755`,indoor,Living room table,2013-10-22,2013-11-03
169,:ref:`MICROLITE`,:ref:`9178755`,indoor,Living room table by SG desk,2013-11-03,2013-11-04
183,:ref:`MICROLITE`,:ref:`9178755`,indoor,Living room,2014-07-01,2014-07-05
96,:ref:`MICROLITE`,:ref:`9178813`,indoor,Living Room A,2013-11-04,2013-11-11
130,:ref:`MICROLITE`,:ref:`9178813`,indoor,Living room table,2013-10-22,2013-11-03
156,:ref:`MICROLITE`,:ref:`9178813`,indoor,Living room table,2013-11-03,2013-11-04
158,:ref:`MICROLITE`,:ref:`9178813`,indoor,Living room,2014-07-01,2014-07-05
261,:ref:`MICROLITE`,:ref:`9178813`,indoor,5th floor (incomplete),2015-07-29,2015-11-06
97,:ref:`MICROLITE`,:ref:`9178719`,indoor,Living Room B,2013-11-04,2013-11-11
180,:ref:`MICROLITE`,:ref:`9178719`,indoor,Living room table by SG desk,2013-11-03,2013-11-04
190,:ref:`MICROLITE`,:ref:`9178719`,indoor,Living room,2014-07-01,2014-07-05
213,:ref:`MICROLITE`,:ref:`9178719`,indoor,5th floor (incomplete),2013-09-16,2013-10-03
214,:ref:`MICROLITE`,:ref:`9178719`,indoor,3th floor (incomplete),2013-10-12,2013-11-03
262,:ref:`MICROLITE`,:ref:`9178719`,indoor,5th floor (incomplete),2015-08-12,2015-08-16
98,:ref:`MICROLITE`,:ref:`9178799`,indoor,Living Room C,2013-11-04,2013-11-11
131,:ref:`MICROLITE`,:ref:`9178799`,indoor,Living room table,2013-10-22,2013-11-03
159,:ref:`MICROLITE`,:ref:`9178799`,indoor,Living room table by SG desk,2013-11-03,2013-11-04
160,:ref:`MICROLITE`,:ref:`9178799`,indoor,5th floor (incomplete),2013-09-16,2013-11-11
