Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
NA,NA,NA,NA,NA,UTC,UTC
133,:ref:`MICROLITE`,:ref:`9178819`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
137,:ref:`MICROLITE`,:ref:`9178815`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
138,:ref:`MICROLITE`,:ref:`9178813`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
139,:ref:`MICROLITE`,:ref:`9178799`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
140,:ref:`MICROLITE`,:ref:`9178794`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
141,:ref:`MICROLITE`,:ref:`9178792`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
142,:ref:`MICROLITE`,:ref:`9178791`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
143,:ref:`MICROLITE`,:ref:`9178755`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
144,:ref:`MICROLITE`,:ref:`9178750`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
145,:ref:`MICROLITE`,:ref:`9178748`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
146,:ref:`MICROLITE`,:ref:`9178745`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
147,:ref:`MICROLITE`,:ref:`9178744`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
148,:ref:`MICROLITE`,:ref:`9178740`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
149,:ref:`MICROLITE`,:ref:`9178739`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
150,:ref:`MICROLITE`,:ref:`9178733`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
151,:ref:`MICROLITE`,:ref:`9178730`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
152,:ref:`MICROLITE`,:ref:`9178729`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
153,:ref:`MICROLITE`,:ref:`9178724`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
154,:ref:`MICROLITE`,:ref:`9178722`,indoor,Ontop corner workstation,2014-06-25,2014-07-01
