Deployment ID,Room type,Building storey,Distance to wnidow
NA,NA,NA,m
133,Ontop corner workstation,4.0,4.7
137,Ontop corner workstation,4.0,4.7
138,Ontop corner workstation,4.0,4.7
139,Ontop corner workstation,4.0,4.7
140,Ontop corner workstation,4.0,4.7
141,Ontop corner workstation,4.0,
142,Ontop corner workstation,4.0,4.7
143,Ontop corner workstation,4.0,4.7
144,Ontop corner workstation,4.0,4.7
145,Ontop corner workstation,4.0,4.7
146,Ontop corner workstation,4.0,4.7
147,Ontop corner workstation,4.0,4.7
148,Ontop corner workstation,4.0,4.7
149,Ontop corner workstation,4.0,4.7
150,Ontop corner workstation,4.0,4.7
151,Ontop corner workstation,4.0,4.7
152,Ontop corner workstation,4.0,4.7
153,Ontop corner workstation,4.0,4.7
154,Ontop corner workstation,4.0,4.7
