Deployment ID,Height,Yaw,Pitch,Roll
,m asl,degrees,degrees,degrees
64,0.95,0.0,,
110,1.48,0.0,,
123,0.45,0.0,,
186,0.42,,,
266,0.95,0.0,0.0,0.0
292,0.7,0.0,0.0,0.0
65,0.45,0.0,,
111,1.78,0.0,,
125,0.45,0.0,,
169,0.6,0.0,,
183,1.55,,,
96,0.1,0.0,,
130,0.45,0.0,,
156,0.6,0.0,,
158,0.74,,,
261,-999.0,,,
97,0.4,0.0,,
180,0.6,0.0,,
190,1.55,,,
213,-999.0,,,
214,-999.0,,,
262,-999.0,,,
98,0.73,0.0,,
131,0.45,0.0,,
159,0.6,0.0,,
160,-999.0,,,
162,0.74,,,
258,-999.0,,,
290,0.84,0.0,0.0,0.0
99,1.05,0.0,,
132,0.45,0.0,,
134,0.6,0.0,,
155,1.05,,,
252,-999.0,,,
264,-999.0,,,
287,0.7,0.0,0.0,0.0
100,1.0,0.0,,
129,0.45,0.0,,
168,0.6,0.0,,
182,0.94,,,
263,-999.0,,,
101,0.1,0.0,,
115,0.45,0.0,,
174,0.6,0.0,,
254,-999.0,,,
102,0.43,0.0,,
116,0.45,0.0,,
179,0.6,0.0,,
189,1.25,,,
212,-999.0,,,
260,-999.0,,,
103,0.71,0.0,,
117,0.45,0.0,,
172,0.6,0.0,,
209,-999.0,,,
210,1.8,0.0,,
255,-999.0,,,
104,1.05,0.0,,
118,0.45,0.0,,
167,0.6,0.0,,
181,1.31,,,
191,-999.0,,,
257,-999.0,,,
105,1.44,0.0,,
119,0.45,0.0,,
170,0.6,0.0,,
256,-999.0,,,
106,1.74,0.0,,
120,0.45,0.0,,
173,0.6,0.0,,
184,0.1,,,
107,0.4,0.0,,
121,0.45,0.0,,
163,0.6,0.0,,
164,0.6,0.0,,
166,0.1,,,
108,0.73,0.0,,
109,1.04,0.0,,
122,0.45,0.0,,
175,0.6,0.0,,
211,0.38,0.0,,
253,-999.0,,,
112,0.74,0.0,,
128,0.45,0.0,,
171,0.6,0.0,,
113,0.32,0.0,,
127,0.45,0.0,,
178,0.6,0.0,,
188,0.42,,,
259,-999.0,,,
114,0.82,0.0,,
126,0.45,0.0,,
177,0.6,0.0,,
187,1.31,,,
124,0.45,0.0,,
176,0.6,0.0,,
185,1.05,,,
