Deployment ID,Raw file name format,Raw file time resolution,Sample type
,,,Instantaneous/Average
157,../microlite/%m/9178813_%Y-%m-%d.txt,15 min,average
165,../microlite/%m/9178794_%Y-%m-%d.txt,15 min,average
192,../microlite/%m/9178792_%Y-%m-%d.txt,15 min,average
193,../microlite/%m/9178791_%Y-%m-%d.txt,15 min,average
194,../microlite/%m/9178745_%Y-%m-%d.txt,15 min,average
195,../microlite/%m/9178740_%Y-%m-%d.txt,2 min,average
196,../microlite/%m/9178740_%Y-%m-%d.txt,15 min,average
197,../microlite/%m/9178733_%Y-%m-%d.txt,2 min,average
198,../microlite/%m/9178724_%Y-%m-%d.txt,15 min,average
199,../microlite/%m/9178722_%Y-%m-%d.txt,15 min,average
267,../microlite/%m/9178739_%Y-%m-%d.txt,1 min,average
