eprint_id,Reference,year
92399,"Friedlingstein, P., Jones, M. W., O'Sullivan, M., Andrew, R. M., Hauck, J., Peters, G. P., Peters, W., Pongratz, J., Sitch, S., Le Qu�r�, C., Bakker, D. C. E., Canadell, J. G., Ciais, P., Jackson, R. B., Anthoni, P., Barbero, L., Bastos, A., Bastrikov, V., Becker, M., Bopp, L., Buitenhuis, E., Chandra, N., Chevalier, F., Chini, L. P., Currie, K. I., Feely, R. A., Gehlen, M., Gilfillan, D., Gkritzalis, T., Goll, D. S., Gruber, N., Gutekunst, S., Harris, I., Kato, E., Klein Goldewijk, K., Korsbakken, J. I., Landsch�tzer, P., Lauvset, S. K., Lef�vre, N., Lenton, A., Lienert, S., Lombardozzi, D., Marland, G., McGuire, P. C., Melton, J. R., Metzl, N., Munro, D. R., Nabel, J. E. M. S., Nakaoka, S.-I., Neill, C., Omar, A. M., Ono, T., Peregon, A., Pierrot, D., Poulter, B., Rehder, G., Resplandy, L., Robertson, E., R�denbeck, C., S�f�rian, R., Schwinger, J., Smith, N., Tans, P. P., Tian, H., Tilbrook, B., Tubiello, F. N., ven der Werf, G. R., Wiltshire, A. J. and Zaehle, S. (2019) Global carbon budget 2019. Earth System Science Data, 11 (4). pp. 1783-1838. ISSN 1866-3516 doi: https://doi.org/10.5194/essd-11-1783-2019",2019
81462,"Balsamo, G., Agust�-Parareda, A., Albergel, C., Arduini, G., Beljaars, A., Bidlot, J., Bousserez, N., Boussetta, S., Brown, A., Buizza, R., Buontempo, C., Chevallier, F., Choulga, M., Cloke, H., Cronin, M., Dahoui, M., De Rosnay, P., Dirmeyer, P., Drusch, M., Dutra, E., Ek, M., Gentine, P., Hewitt, H., Keeley, S., Kerr, Y., Kumar, S., Lupu, C., Mahfouf, J.-F., McNorton, J., Mecklenburg, S., Mogensen, K., Mu�oz-Sabater, J., Orth, R., Rabier, F., Reichle, R., Ruston, B., Pappenberger, F., Sandu, I., Seneviratne, S., Tietsche, S., Trigo, I., Uijlenhoet, R., Wedi, N., Woolway, R. I. and Zeng, X. (2018) Satellite and in situ observations for advancing global Earth surface modelling: a review. Remote Sensing, 10 (12). 2038. ISSN 2072-4292 doi: https://doi.org/10.3390/rs10122038",2018
73249,"Webber, C. P. (2017) Linking pollution, meteorology and climate change. PhD thesis, University of Reading.",2017
37720,"Tan, J., Yang, L., Grimmond, C. S. B., Shi, J., Gu, W., Chang, Y., Hu, P., Sun, J., Ao, X. and Han, Z. (2015) Urban integrated meteorological observations: practice and experience in Shanghai, China. Bulletin of the American Meteorological Society, 96 (1). pp. 85-102. ISSN 0003-0007 doi: https://doi.org/10.1175/BAMS-D-13-00216.1",2015
51796,"Buehner, M., Gelaro, R., Alves, O., Dee, D., Kalnay, E., Van Leeuwen, P. J., Lorenc, A., Miyoshi, T., Saunders, R. and Schiller, A. (2015) Data assimilation methods and applications. In: Brunet, G., Jones, S. and Ruti, P.M. (eds.) Seamless prediction of the earth system: from minutes to months. World Meteorological Organization. ISBN 9789263111562",2015
52306,"Jung, T., Bauer, P., Goessling, H. F., Gordon, N., Klebe, S., Bromwich, D. H., Doblas-Reyes, F., Day, J. J., Fairall, C. W., Holland, M., Iverson, T., Lemke, P., Mills, B., Nurmi, P., Perovich, D. K., Reid, P., Renfrew, I., Smith, G., Svensson, G. and Tolstykh, M. (2015) The WWRP Polar Prediction Project (PPP). In: Brunet, G., Jones, S. and Ruti, P. (eds.) Seamless prediction of the Earth system: from minutes to months. WMO, 1156. World Meteorological Organisation, Geneva, pp. 371-384. ISBN 9789263111562",2015
37629,"Yu, C. L. and Teixeira, M. A. C. (2015) Impact of non-hydrostatic effects and trapped lee waves on mountain wave drag in directionally sheared flow. Quarterly Journal of the Royal Meteorological Society, 141 (690). pp. 1572-1585. ISSN 1477-870X doi: https://doi.org/10.1002/qj.2459",2015
20514,"Barlow, J. F., Dunbar, T. M., Nemitz, E. G., Wood, C. R., Gallagher, M. W., Davies, F., O'Connor, E. and Harrison, R. M. (2011) Boundary layer dynamics over London, UK, as observed using Doppler lidar during REPARTEE-II. Atmospheric Chemistry and Physics, 11 (5). pp. 2111-2125. ISSN 1680-7316 doi: https://doi.org/10.5194/acp-11-2111-2011",2011
28420,"Adamson, D. S., Belcher, S. E., Hoskins, B. J. and Plant, R. S. (2006) Boundary-layer friction in midlatitude cyclone. Quarterly Journal of the Royal Meteorological Society, 132 (614). pp. 101-124. ISSN 1477-870X doi: https://doi.org/10.1256/qj.04.145",2006
32988,"Haynes, P. H. and Shepherd, T. G. (1989) The importance of surface pressure changes in the response of the atmosphere to zonally-symmetric thermal and mechanical forcing. Quarterly Journal of the Royal Meteorological Society, 115 (490). pp. 1181-1208. ISSN 1477-870X doi: https://doi.org/10.1002/qj.49711549002",1989
