Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
,,,,,UTC,UTC
12,:ref:`DAVIS`,:ref:`A00422A003`,single,Davis weather station,2013-07-19,2014-07-31
13,:ref:`DAVIS`,:ref:`A00422A003`,single,Davis weather station,2014-08-01,2019-08-30
280,:ref:`CL31`,:ref:`B20201`,ceilometer,CL31-A,2016-04-29,2019-12-18
457,:ref:`CL31`,:ref:`B20201`,ceilometer,CL31-A,2020-02-06,
314,:ref:`PIR`,:ref:`29757F3`,single,PIR,2016-05-04,2020-11-04
315,:ref:`PSP`,:ref:`29765F3`,single,PSP,2016-05-04,2020-11-04
316,:ref:`UVA`,:ref:`020630655`,single,UVA,2016-05-04,2020-11-04
317,:ref:`UVB`,:ref:`020630658`,single,UVB,2016-05-04,2020-11-04
318,:ref:`PAR`,:ref:`020630661`,single,PAR,2016-05-04,2020-11-04
319,:ref:`SPN1`,:ref:`A517`,single,SPN,2016-05-04,2020-11-04
320,:ref:`CNR1`,:ref:`000220`,single,CNR1,2016-05-04,2019-08-30
324,:ref:`LASMKII`,:ref:`120029`,scintillometer,LASMkII Rx,2014-04-09,2018-10-31
337,:ref:`CSAT3`,:ref:`0192-2`,ec,EC,2016-04-29,
337,:ref:`LI7500A`,:ref:`75H-1973`,ec,EC,2016-04-29,
401,:ref:`PI160`,:ref:`C12080103_L17050030`,fov,C03,2017-07-28,2017-08-02
434,:ref:`PI160`,:ref:`C12080103_L17050030`,fov,C03,2017-09-30,2017-10-14
453,:ref:`PI160`,:ref:`C12080103_L17050030`,fov,C03,2017-08-04,2017-09-29
402,:ref:`PI160`,:ref:`C12080019_L17050029`,fov,C19,2017-07-29,2017-08-15
444,:ref:`PI160`,:ref:`C12080019_L17050029`,fov,C19,2017-07-13,2017-07-27
403,:ref:`PI160`,:ref:`C12080016_L16060004`,fov,C16,2017-07-22,2017-10-24
440,:ref:`PI160`,:ref:`C12080016_L16060004`,fov,C16,2017-10-26,2017-11-10
404,:ref:`PI160`,:ref:`C12080017_L17050013`,fov,C17,2017-08-04,2017-09-02
439,:ref:`PI160`,:ref:`C12080017_L17050013`,fov,C17,2017-09-04,2017-11-07
443,:ref:`PI160`,:ref:`C12080017_L17050013`,fov,C17,2017-07-17,2017-08-02
437,:ref:`PI160`,:ref:`C12080019_L17050029_NORMALDISTORTIONCORRECTION`,fov,C19,2017-08-17,2017-11-10
455,:ref:`DAVIS`,:ref:`BE181023018`,single,Davis weather station,2019-08-30,
456,:ref:`TRISONICAWS`,:ref:`M00101A`,single,Trisonica Mini,2018-09-11,2020-02-06
