Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
NA,NA,NA,NA,NA,UTC,UTC
44,:ref:`CNR1`,:ref:`000220`,single,CNR1,2008-08-13,2009-09-30
45,:ref:`CNR4`,:ref:`100312`,single,CNR4,2010-09-21,2013-03-04
46,:ref:`PAR`,:ref:`020630661`,single,PAR,2008-09-29,2009-09-29
47,:ref:`UVA`,:ref:`020630656`,single,UVA,2008-09-29,2009-09-29
48,:ref:`UVB`,:ref:`020630657`,single,UVB,2008-09-29,2009-09-29
240,:ref:`WXT510`,:ref:`B084006`,single,WXT,2008-09-30,2008-10-29
241,:ref:`WXT510`,:ref:`B084006`,single,WXT,2008-10-30,2009-04-29
242,:ref:`WXT510`,:ref:`B084006`,single,WXT,2009-04-30,2009-05-13
243,:ref:`WXT510`,:ref:`B084006`,single,WXT,2009-05-15,2009-06-29
244,:ref:`WXT510`,:ref:`B084006`,single,WXT,2009-07-01,2009-09-30
245,:ref:`WXT510`,:ref:`B084006`,single,WXT,2009-10-02,2011-03-09
246,:ref:`WXT510`,:ref:`B084006`,single,WXT,2011-03-11,2011-04-05
247,:ref:`WXT510`,:ref:`B0840006-G0630168`,single,WXT,2011-04-07,2011-08-18
248,:ref:`WXT510`,:ref:`B0840006-G0630168`,single,WXT,2011-08-20,2011-09-05
249,:ref:`WXT510`,:ref:`B0840006-G0630168`,single,WXT,2011-09-07,2011-10-05
250,:ref:`WXT510`,:ref:`B0840006-G0630168`,single,WXT,2011-10-07,2011-12-20
251,:ref:`WXT510`,:ref:`B0840006-G0630168`,single,WXT,2011-12-22,2013-03-03
325,:ref:`CSAT3`,:ref:`0192-2`,ec,EC,2008-10-01,2008-10-29
326,:ref:`CSAT3`,:ref:`0192-2`,ec,EC,2008-10-29,2009-04-29
327,:ref:`CSAT3`,:ref:`0192-2`,ec,EC,2009-04-29,2009-05-14
328,:ref:`CSAT3`,:ref:`0192-2`,ec,EC,2009-05-14,2009-10-06
325,:ref:`LI7500A`,:ref:`75H-0995`,ec,EC,2008-10-01,2008-10-29
326,:ref:`LI7500A`,:ref:`75H-0995`,ec,EC,2008-10-29,2009-04-29
327,:ref:`LI7500A`,:ref:`75H-0995`,ec,EC,2009-04-29,2009-05-14
328,:ref:`LI7500A`,:ref:`75H-0995`,ec,EC,2009-05-14,2009-10-06
329,:ref:`CSAT3`,:ref:`1188-1`,ec,EC,2010-01-22,2010-03-04
330,:ref:`CSAT3`,:ref:`1188-1`,ec,EC,2010-03-04,2010-03-22
331,:ref:`CSAT3`,:ref:`1188-1`,ec,EC,2010-03-22,2010-03-29
332,:ref:`CSAT3`,:ref:`1188-1`,ec,EC w KH20,2010-03-29,2010-08-25
333,:ref:`CSAT3`,:ref:`1188-1`,ec,EC w KH20,2010-08-25,2010-10-22
334,:ref:`CSAT3`,:ref:`1188-1`,ec,EC,2010-10-22,2011-03-11
335,:ref:`CSAT3`,:ref:`1188-1`,ec,EC,2011-03-11,2011-04-06
336,:ref:`CSAT3`,:ref:`1188-1`,ec,EC,2011-04-06,2011-08-19
345,:ref:`CSAT3`,:ref:`1188-1`,ec,EC,2011-08-19,2011-08-22
346,:ref:`CSAT3`,:ref:`1188-1`,ec,EC,2011-08-22,2011-09-06
347,:ref:`CSAT3`,:ref:`1188-1`,ec,EC,2011-09-06,2011-10-06
348,:ref:`CSAT3`,:ref:`1188-1`,ec,EC,2011-10-06,2011-12-21
349,:ref:`CSAT3`,:ref:`1188-1`,ec,EC,2011-12-21,2013-02-27
332,:ref:`KH20`,:ref:`1122`,ec,EC w KH20,2010-03-29,2010-08-25
333,:ref:`KH20`,:ref:`1122`,ec,EC w KH20,2010-08-25,2010-10-22
345,:ref:`LI7500A`,:ref:`75H-1973`,ec,EC,2011-08-19,2011-08-22
346,:ref:`LI7500A`,:ref:`75H-1973`,ec,EC,2011-08-22,2011-09-06
347,:ref:`LI7500A`,:ref:`75H-1973`,ec,EC,2011-09-06,2011-10-06
348,:ref:`LI7500A`,:ref:`75H-1973`,ec,EC,2011-10-06,2011-12-21
349,:ref:`LI7500A`,:ref:`75H-1973`,ec,EC,2011-12-21,2013-02-27
