Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
,,,,,UTC,UTC
24,:ref:`CNR1`,:ref:`000220 <000220>`,single,CNR1,2009-10-09,2012-03-25
25,:ref:`PAR`,:ref:`020630661 <020630661>`,single,PAR,2009-10-09,2012-02-26
26,:ref:`UVA`,:ref:`020630656 <020630656>`,single,UVA,2009-10-09,2012-02-26
27,:ref:`UVB`,:ref:`020630657 <020630657>`,single,UVB,2009-10-09,2012-02-26
57,:ref:`WXT510`,:ref:`B084005 <B084005>`,single,WXT,2009-10-13,2010-03-22
238,:ref:`WXT510`,:ref:`B084005 <B084005>`,single,WXT,2010-03-22,2010-03-29
239,:ref:`WXT510`,:ref:`B084005 <B084005>`,single,WXT,2010-03-30,2012-03-25
60,:ref:`THERMOCOUPLE`,:ref:`123456 <123456>`,profile_complex,Thermocouples,2009-12-17,2012-03-26
60,:ref:`THERMOCOUPLE`,:ref:`123456 <123456>`,profile_complex,Thermocouples,2009-12-17,2012-03-26
60,:ref:`THERMOCOUPLE`,:ref:`123456 <123456>`,profile_complex,Thermocouples,2009-12-17,2012-03-26
60,:ref:`THERMOCOUPLE`,:ref:`123456 <123456>`,profile_complex,Thermocouples,2009-12-17,2012-03-26
60,:ref:`THERMOCOUPLE`,:ref:`123456 <123456>`,profile_complex,Thermocouples,2009-12-17,2012-03-26
60,:ref:`THERMOCOUPLE`,:ref:`123456 <123456>`,profile_complex,Thermocouples,2009-12-17,2012-03-26
60,:ref:`THERMOCOUPLE`,:ref:`123456 <123456>`,profile_complex,Thermocouples,2009-12-17,2012-03-26
60,:ref:`THERMOCOUPLE`,:ref:`123456 <123456>`,profile_complex,Thermocouples,2009-12-17,2012-03-26
61,:ref:`IRTM`,:ref:`0305120 <0305120>`,fov,IR Thermometer,2010-03-23,2012-05-25
62,:ref:`LI840`,:ref:`HGA-0416 <HGA-0416>`,profile_complex,Gas Analyser Li840-1,2010-01-25,2011-09-04
62,:ref:`LI840`,:ref:`HGA-0416 <HGA-0416>`,profile_complex,Gas Analyser Li840-1,2010-01-25,2011-09-04
62,:ref:`LI840`,:ref:`HGA-0416 <HGA-0416>`,profile_complex,Gas Analyser Li840-1,2010-01-25,2011-09-04
62,:ref:`LI840`,:ref:`HGA-0416 <HGA-0416>`,profile_complex,Gas Analyser Li840-1,2010-01-25,2011-09-04
62,:ref:`LI840`,:ref:`HGA-0416 <HGA-0416>`,profile_complex,Gas Analyser Li840-1,2010-01-25,2011-09-04
62,:ref:`LI840`,:ref:`HGA-0416 <HGA-0416>`,profile_complex,Gas Analyser Li840-1,2010-01-25,2011-09-04
62,:ref:`LI840`,:ref:`HGA-0416 <HGA-0416>`,profile_complex,Gas Analyser Li840-1,2010-01-25,2011-09-04
62,:ref:`LI840`,:ref:`HGA-0416 <HGA-0416>`,profile_complex,Gas Analyser Li840-1,2010-01-25,2011-09-04
344,:ref:`CSAT3`,:ref:`0194-2 <0194-2>`,ec,EC - check sonic serieal,2009-11-01,2012-03-25
344,:ref:`LI7500A`,:ref:`75H-0995 <75H-0995>`,ec,EC - check sonic serieal,2009-11-01,2012-03-25
458,:ref:`LI840`,:ref:`HGA-0418 <HGA-0418>`,profile_complex,Gas Analyser Li840-2,2011-09-25,2012-03-25
458,:ref:`LI840`,:ref:`HGA-0418 <HGA-0418>`,profile_complex,Gas Analyser Li840-2,2011-09-25,2012-03-25
458,:ref:`LI840`,:ref:`HGA-0418 <HGA-0418>`,profile_complex,Gas Analyser Li840-2,2011-09-25,2012-03-25
458,:ref:`LI840`,:ref:`HGA-0418 <HGA-0418>`,profile_complex,Gas Analyser Li840-2,2011-09-25,2012-03-25
458,:ref:`LI840`,:ref:`HGA-0418 <HGA-0418>`,profile_complex,Gas Analyser Li840-2,2011-09-25,2012-03-25
458,:ref:`LI840`,:ref:`HGA-0418 <HGA-0418>`,profile_complex,Gas Analyser Li840-2,2011-09-25,2012-03-25
458,:ref:`LI840`,:ref:`HGA-0418 <HGA-0418>`,profile_complex,Gas Analyser Li840-2,2011-09-25,2012-03-25
458,:ref:`LI840`,:ref:`HGA-0418 <HGA-0418>`,profile_complex,Gas Analyser Li840-2,2011-09-25,2012-03-25
