Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
,,,,,UTC,UTC
277,:ref:`MICROLITE`,:ref:`9178745 <9178745>`,indoor,Microlite Catherine - Bad data,2016-05-05,2016-05-09
278,:ref:`MICROLITE`,:ref:`9178745 <9178745>`,indoor,Microlite RGS,2016-05-10,2018-09-12
281,:ref:`MICROLITE`,:ref:`9178733 <9178733>`,indoor,Microlite RGS,2016-05-25,2018-09-12
282,:ref:`CT25K`,:ref:`LCBRV098 <LCBRV098>`,ceilometer,CT25K-Y,2016-05-25,2018-07-17
283,:ref:`CL31`,:ref:`B20202 <B20202>`,ceilometer,CL31-B,2009-03-26,2016-06-14
373,:ref:`CL31`,:ref:`B20202 <B20202>`,ceilometer,CL31-B,2016-06-26,2020-03-17
285,:ref:`SM300`,:ref:`A01360 <A01360>`,single,Node 4,2016-06-07,2016-07-25
286,:ref:`SM300`,:ref:`A01357 <A01357>`,single,Node 3,2016-06-14,2016-07-25
293,:ref:`SM300`,:ref:`A01366 <A01366>`,single,Node 4,2016-07-26,2016-08-15
294,:ref:`SM300`,:ref:`A01365 <A01365>`,single,Node 3,2016-07-26,2020-10-22
297,:ref:`SM300`,:ref:`A01362 <A01362>`,single,Node 4,2016-08-16,2017-06-21
383,:ref:`CL31`,:ref:`F2730001 <F2730001>`,ceilometer,CL31-D,2011-01-19,2011-02-02
400,:ref:`TT200`,:ref:`THERM2 <THERM2>`,single,Node 5,2017-06-21,2020-10-22
450,:ref:`CT25K`,:ref:`LCBRV312 <LCBRV312>`,ceilometer,CT25K-X,2018-07-17,
471,:ref:`CL31`,:ref:`B20201 <B20201>`,ceilometer,CL31-A,2021-07-15,
