Deployment ID,Height,Yaw,Pitch,Roll
NA,m asl,degrees,degrees,degrees
24,59.6,0.0,0.0,0.0
25,59.6,0.0,0.0,0.0
26,59.6,0.0,0.0,0.0
27,59.6,0.0,0.0,0.0
57,59.6,5.0,0.0,0.0
238,59.6,359.0,,
239,59.6,2.0,0.0,0.0
60,46.3,,,
60,47.9,,,
60,49.8,,,
60,51.6,,,
60,52.3,,,
60,54.9,,,
60,57.5,,,
60,59.3,,,
61,46.0,,,
62,46.3,,,
62,46.32,,,
62,48.0,,,
62,48.1,,,
62,50.0,,,
62,51.48,,,
62,52.57,,,
62,57.68,,,
344,59.6,257.0,,
344,59.6,257.0,,
458,46.3,,,
458,46.32,,,
458,48.0,,,
458,48.1,,,
458,50.0,,,
458,51.48,,,
458,52.57,,,
458,57.68,,,
