Deployment ID,Raw file name format,Raw file time resolution,Sample type
,,,Instantaneous/Average
12,Davis/Daily/%m/%Y%m%d_davis_IMU.txt,2 sec,instantaneous
13,Davis/Daily/%m/%Y%m%d_davis_IMU.txt,2 sec,instantaneous
280,CeilometerA/%m/A%q%m%d%H.DAT,15,average
457,CeilometerA/%m/A%q%m%d%H.DAT,15,average
314,EPP/%m/IMU_HUT%y%DOY.dat,15 min,
315,EPP/%m/IMU_HUT%y%DOY.dat,15 min,
316,EPP/%m/IMU_HUT%y%DOY.dat,15 min,
317,EPP/%m/IMU_HUT%y%DOY.dat,15 min,
318,EPP/%m/IMU_HUT%y%DOY.dat,15 min,
319,SPN1/%m/IMU_SPN1%y%DOY.dat,15 min,
320,RAD/%m/rad%Y%DOY_%H.txt,,
324,LASMkII_29/Fast/%m/LASMkII-29_Fast_%Y%DOY.dat,10Hz,instantaneous
337,CSAT_Hrly/%m/IMUCSAT%y%DOY_%H.txt,0.1,instantaneous
337,LI7500_Hrly/%m/IMULI7500%y%DOY_%H.txt,0.1,instantaneous
401,OptrisPI/C03/%m/%d/,1min,instantaneous
434,OptrisPI/C03/%m/%d/,1min,instantaneous
453,OptrisPI/C03/%m/%d/,1min,instantaneous
402,OptrisPI/C19/%m/%d/,1min,instantaneous
444,OptrisPI/C19/%m/%d/,1min,instantaneous
403,OptrisPI/C16/%m/%d/,1min,instantaneous
440,OptrisPI/C16/%m/%d/,1min,instantaneous
404,OptrisPI/C17/%m/%d/,1min,instantaneous
439,OptrisPI/C17/%m/%d/,1min,instantaneous
443,OptrisPI/C17/%m/%d/,1min,instantaneous
437,OptrisPI/C19/%m/%d/,1min,instantaneous
455,Davis/Daily/%m/%Y%m%d_davis_IMU.txt,2 sec,instantaneous
456,Minisonic101/%m/%DOY/Minisonic101_%Y%DOY_%H.txt,10Hz,instantaneous
