Deployment ID,Raw file name format,Raw file time resolution,Sample type
,,,Instantaneous/Average
24,CR5000/KSS_RF%y%DOY.dat,15min,
25,CR5000/KSS_RF%y%DOY.dat,15min,
26,CR5000/KSS_RF%y%DOY.dat,15 min,
27,CR5000/KSS_RF%y%DOY.dat,15 min,
57,WXT510/%m/WXT%Y%DOY_%H_raw.txt,,
238,WXT%Y%DOY_%H_raw.txt,,
239,WXT510/%m/WXT%Y%DOY_%H_raw.txt,,
60,TProfile/KSS_T%y%DOY.dat,1 sec,average
60,TProfile/KSS_T%y%DOY.dat,1 sec,average
60,TProfile/KSS_T%y%DOY.dat,1 sec,average
60,TProfile/KSS_T%y%DOY.dat,1 sec,average
60,TProfile/KSS_T%y%DOY.dat,1 sec,average
60,TProfile/KSS_T%y%DOY.dat,1 sec,average
60,TProfile/KSS_T%y%DOY.dat,1 sec,average
60,TProfile/KSS_T%y%DOY.dat,1 sec,average
61,KSS_T%y%DOY.dat,,average
62,LI840-1/%m/LI-1%Y%DOY_%H_raw.txt,2Hz,instantaneous
62,LI840-1/%m/LI-1%Y%DOY_%H_raw.txt,2Hz,instantaneous
62,LI840-1/%m/LI-1%Y%DOY_%H_raw.txt,2Hz,instantaneous
62,LI840-1/%m/LI-1%Y%DOY_%H_raw.txt,2Hz,instantaneous
62,LI840-1/%m/LI-1%Y%DOY_%H_raw.txt,2Hz,instantaneous
62,LI840-1/%m/LI-1%Y%DOY_%H_raw.txt,2Hz,instantaneous
62,LI840-1/%m/LI-1%Y%DOY_%H_raw.txt,2Hz,instantaneous
62,LI840-1/%m/LI-1%Y%DOY_%H_raw.txt,2Hz,instantaneous
344,CSAT_Hrly/%m/KSSFast%y%DOY_%H.txt,0.1,instantaneous
344,CSAT_Hrly/%m/KSSFast%y%DOY_%H.txt,0.1,instantaneous
458,LI840-2/%m/LI-2%Y%DOY_%H_raw.txt,2Hz,instantaneous
458,LI840-2/%m/LI-2%Y%DOY_%H_raw.txt,2Hz,instantaneous
458,LI840-2/%m/LI-2%Y%DOY_%H_raw.txt,2Hz,instantaneous
458,LI840-2/%m/LI-2%Y%DOY_%H_raw.txt,2Hz,instantaneous
458,LI840-2/%m/LI-2%Y%DOY_%H_raw.txt,2Hz,instantaneous
458,LI840-2/%m/LI-2%Y%DOY_%H_raw.txt,2Hz,instantaneous
458,LI840-2/%m/LI-2%Y%DOY_%H_raw.txt,2Hz,instantaneous
458,LI840-2/%m/LI-2%Y%DOY_%H_raw.txt,2Hz,instantaneous
