Deployment ID,Raw file name format,Raw file time resolution,Sample type
NA,NA,NA,Instantaneous/Average
372,CeilometerQ/%m/Q%q%m%d%H.DAT,30,average
389,BLS/Daily/%m/Mnd/%Y-%m-%d.mnd,60s,average
390,MetData/%m/%Y%m%d_SWT_MetData.dat,1min,average
393,RAD/%m/rad%Y%DOY_%H.txt,15min,
414,LASMkII_28/Fast/%m/LASMkII-28_Fast_%Y%DOY.dat,10Hz,instantaneous
438,CeilometerD/%m/D%q%m%d%H.DAT,15,average
461,MetData/%m/%Y%m%d_SWT_MetData.dat,1min,average
462,WeatherStation/Weather_Data_%Y.csv,1min,average
461,MetData/%m/%Y%m%d_SWT_MetData.dat,1min,average
462,WeatherStation/Weather_Data_%Y.csv,1min,average
461,MetData/%m/%Y%m%d_SWT_MetData.dat,1min,average
462,WeatherStation/Weather_Data_%Y.csv,1min,average
461,MetData/%m/%Y%m%d_SWT_MetData.dat,1min,average
462,WeatherStation/Weather_Data_%Y.csv,1min,average
