Deployment ID,Raw file name format,Raw file time resolution,Sample type
,,,Instantaneous/Average
299,,30,average
303,CeilometerU/%m/U%q%m%d%H.DAT,30,average
304,,30,average
306,,30,average
308,CeilometerQ/%m/Q%q%m%d%H.DAT,30,average
312,CeilometerS/%m/S%q%m%d%H.DAT,30,average
313,CeilometerT/%m/T%q%m%d%H.DAT,30,average
338,Gill_Hrly/%m/URAOGill%y%DOY_%H.txt,0.1,instantaneous
392,Gill_Hrly/%m/URAOGill%y%DOY_%H.txt,0.1,instantaneous
338,LI7500_Hrly/%m/URAOLI7500%y%DOY_%H.txt,0.1,instantaneous
387,LI7500_Hrly/%m/URAOLI7500%y%DOY_%H.txt,0.1,instantaneous
392,LI7500_Hrly/%m/URAOLI7500%y%DOY_%H.txt,0.1,instantaneous
380,CeilometerR/%m/R%q%m%d%H.DAT,30sec,average
381,CeilometerF/%m/F%q%m%d%H.DAT,15sec,average
387,Gill_Hrly/%m/URAOGill%y%DOY_%H.txt,0.1,instantaneous
