eprint_id,Reference,year
89468,"Wright, A. (2020) The effect of land surface hydrological process representation on drought prediction, at a range of spatio-temporal scales. PhD thesis, University of Reading.",2020
89996,"Di Napoli, C., Hogan, R. J. and Pappenberger, F. (2020) Mean radiant temperature from global-scale numerical weather prediction models. International Journal of Biometeorology, 64 (7). pp. 1233-1245. ISSN 1432-1254 doi: https://doi.org/10.1007/s00484-020-01900-5",2020
91302,"Meyer, D., Schoetter, R., Masson, V. and Grimmond, S. (2020) Enhanced software and platform for the Town Energy Balance (TEB) model. Journal of Open Source Software, 5 (50). 2008. ISSN 2475-9066 doi: https://doi.org/10.21105/joss.02008",2020
91221,"Biggart, M., Stocker, J., Doherty, R. M., Wild, O., Hollaway, M., Carruthers, D., Li, J., Zhang, Q., Wu, R., Kotthaus, S., Grimmond, S., Squires, F. A., Lee, J. and Shi, Z. (2020) Street-scale air quality modelling for Beijing during a winter 2016 measurement campaign. Atmospheric Chemistry and Physics, 20 (5). pp. 2755-2780. ISSN 1680-7324 doi: https://doi.org/10.5194/acp-20-2755-2020",2020
94549,"Boult, V. L., Asfaw, D. T., Young, M., Maidment, R., Mwangi, E., Ambani, M., Waruru, S., Otieno, G., Todd, M. C. and Black, E. (2020) Evaluation and validation of TAMSAT-ALERT soil moisture and WRSI for use in drought anticipatory action. Meteorological Applications, 27 (5). e1959. ISSN 1469-8080 doi: https://doi.org/10.1002/met.1959",2020
91912,"Tsiringakis, A., Holtslag, A. A. M., Grimmond, S. and Steeneveld, G. J. (2020) Surface and atmospheric driven variability of the single‐layer urban canopy model under clear‐sky conditions over London. Journal of Geophysical Research: Atmospheres, 125 (14). e2019JD032167. ISSN 2169-8996 doi: https://doi.org/10.1029/2019JD032167",2020
93070,"Eunice Lo, Y. T., Mitchell, D. M., Bohnenstengel, S. I., Collins, M., Hawkins, E., Hegerl, G. C., Joshi, M. and Stott, P. A. (2020) U.K. climate projections: Summer daytime and nighttime urban heat island changes in England’s major cities. Journal of Climate, 33 (20). pp. 9015-9030. ISSN 0894-8755 doi: https://doi.org/10.1175/JCLI-D-19-0961.1",2020
84401,"Järvi, L., Havu, M., Ward, H. C., Bellucco, V., McFadden, J. P., Toivonen, T., Heikinheimo, V., Kolari, P., Riikonen, A. and Grimmond, C. S. B. (2019) Spatial modelling of local‐scale biogenic and anthropogenic carbon dioxide emissions in Helsinki. Journal of Geophysical Research: Atmospheres, 124 (15). pp. 8363-8384. ISSN 2169-8996 doi: https://doi.org/10.1029/2018JD029576",2019
85669,"Theeuwes, N. E., Ronda, R. J., Harman, I. N., Christen, A. and Grimmond, C. S. B. (2019) Parametrizing horizontally-averaged wind and temperature profiles in the urban roughness sublayer. Boundary-Layer Meteorology, 173 (3). pp. 321-348. ISSN 0006-8314 doi: https://doi.org/10.1007/s10546-019-00472-1",2019
87076,"Takane, Y., Kikegawa, Y., Hara, M. and Grimmond, C. S. B. (2019) Urban warming and future air-conditioning use in an Asian megacity: importance of positive feedback. npj Climate and Atmospheric Science, 2 (1). 39. ISSN 2397-3722 doi: https://doi.org/10.1038/s41612-019-0096-2",2019
89787,"Hogan, R. J. (2019) Flexible treatment of radiative transfer in complex urban canopies for use in weather and climate models. Boundary-Layer Meteorology, 173. pp. 53-78. ISSN 0006-8314 doi: https://doi.org/10.1007/s10546-019-00457-0",2019
83860,"Tuononen, M., O'Connor, E. J. and Sinclair, V. A. (2019) Evaluating solar radiation forecast uncertainty. Atmospheric Chemistry and Physics, 19. pp. 1985-2000. doi: https://doi.org/10.5194/acp-19-1985-2019",2019
84384,"Shi, Z., Vu, T., Kotthaus, S., Harrison, R. M., Grimmond, S., Yue, S., Zhu, T., Lee, J., Han, Y., Demuzere, M., Dunmore, R. E., Ren, L., Liu, D., Wang, Y., Wild, O., Allan, J., Acton, W. J., Barlow, J., Barratt, B., Beddows, D., Bloss, W. J., Calzolai, G., Carruthers, D., Carslaw, D. C., Chan, Q., Chatzidiakou, L., Chen, Y., Crilley, L., Coe, H., Dai, T., Doherty, R., Duan, F., Fu, P., Ge, B., Ge, M., Guan, D., Hamilton, J. F., He, K., Heal, M., Heard, D., Hewitt, C. N., Hollaway, M., Hu, M., Ji, D., Jiang, X., Jones, R., Kalberer, M., Kelly, F. J., Kramer, L., Langford, B., Lin, C., Lewis, A. C., Li, J., Li, W., Liu, H., Liu, J., Loh, M., Lu, K., Lucarelli, F., Mann, G., McFiggans, G., Miller, M. R., Mills, G., Monk, P., Nemitz, E., O&amp;apos;Connor, F., Ouyang, B., Palmer, P. I., Percival, C., Popoola, O., Reeves, C., Rickard, A. R., Shao, L., Shi, G., Spracklen, D., Stevenson, D., Sun, Y., Sun, Z., Tao, S., Tong, S., Wang, Q., Wang, W., Wang, X., Wang, X., Wang, Z., Wei, L., Whalley, L., Wu, X., Wu, Z., Xie, P., Yang, F., Zhang, Q., Zhang, Y., Zhang, Y. and Zheng, M. (2019) In-depth study of air pollution sources and processes within Beijing and its surrounding region (APHH-Beijing). Atmospheric Chemistry and Physics (11). pp. 7519-7546. ISSN 1680-7316 doi: https://doi.org/10.5194/acp-19-7519-2019",2019
75551,"Gabey, A. M., Grimmond, C. S. B. and Capel-Timms, I. (2019) Anthropogenic heat flux: advisable spatial resolutions when input data are scarce. Theoretical and Applied Climatology, 135 (1-2). pp. 791-807. ISSN 1434-4483 doi: https://doi.org/10.1007/s00704-018-2367-y",2019
90498,"Martin, G. M., Brooks, M. E., Johnson, B., Milton, S. F., Webster, S., Jayakumar, A., Mitra, A. K., Rajan, D. and Hunt, K. M. R. (2019) Forecasting the monsoon on daily to seasonal time‐scales in support of a field campaign. Quarterly Journal of the Royal Meteorological Society. ISSN 1477-870X doi: https://doi.org/10.1002/qj.3620",2019
92399,"Friedlingstein, P., Jones, M. W., O'Sullivan, M., Andrew, R. M., Hauck, J., Peters, G. P., Peters, W., Pongratz, J., Sitch, S., Le Qu�r�, C., Bakker, D. C. E., Canadell, J. G., Ciais, P., Jackson, R. B., Anthoni, P., Barbero, L., Bastos, A., Bastrikov, V., Becker, M., Bopp, L., Buitenhuis, E., Chandra, N., Chevalier, F., Chini, L. P., Currie, K. I., Feely, R. A., Gehlen, M., Gilfillan, D., Gkritzalis, T., Goll, D. S., Gruber, N., Gutekunst, S., Harris, I., Kato, E., Klein Goldewijk, K., Korsbakken, J. I., Landsch�tzer, P., Lauvset, S. K., Lef�vre, N., Lenton, A., Lienert, S., Lombardozzi, D., Marland, G., McGuire, P. C., Melton, J. R., Metzl, N., Munro, D. R., Nabel, J. E. M. S., Nakaoka, S.-I., Neill, C., Omar, A. M., Ono, T., Peregon, A., Pierrot, D., Poulter, B., Rehder, G., Resplandy, L., Robertson, E., R�denbeck, C., S�f�rian, R., Schwinger, J., Smith, N., Tans, P. P., Tian, H., Tilbrook, B., Tubiello, F. N., ven der Werf, G. R., Wiltshire, A. J. and Zaehle, S. (2019) Global carbon budget 2019. Earth System Science Data, 11 (4). pp. 1783-1838. ISSN 1866-3516 doi: https://doi.org/10.5194/essd-11-1783-2019",2019
83821,"Walters, D., Baran, A. J., Boutle, I., Brooks, M., Earnshaw, P., Edwards, J., Furtado, K., Hill, P., Lock, A., Manners, J., Morcrette, C., Mulcahy, J., Sanchez, C., Smith, C., Stratton, R., Tennant, W., Tomassini, L., Van Weverberg, K., Vosper, S., Willett, M., Browse, J., Bushell, A., Carslaw, K., Dalvi, M., Essery, R., Gedney, N., Hardiman, S., Johnson, B., Johnson, C., Jones, A., Jones, C., Mann, G., Milton, S., Rumbold, H., Sellar, A., Ujiie, M., Whitall, M., Williams, K. and Zerroukat, M. (2019) The Met Office Unified Model Global Atmosphere 7.0/7.1 and JULES Global Land 7.0 configurations. Geoscientific Model Development, 12 (5). pp. 1909-1963. ISSN 1991-9603 doi: https://doi.org/10.5194/gmd-12-1909-2019",2019
81242,"Shannon, S., Smith, R., Wiltshire, A., Payne, T., Huss, M., Betts, R., Caesar, J., Koutroulis, A., Jones, D. and Harrison, S. (2019) Global glacier volume projections under high-end climate change scenarios. The Cryosphere, 13. pp. 325-350. ISSN 1994-0424 doi: https://doi.org/10.5194/tc-2018-35",2019
89766,"Teckentrup, L., Harrison, S. P., Hantson, S., Heil, A., Melton, J. R., Forrest, M., Li, F., Yue, C., Arneth, A., Hickler, T., Sitch, S. and Lasslop, G. (2019) Response of simulated burned area to historical changes in environmental and anthropogenic factors: a comparison of seven fire models. Biogeosciences, 16 (19). pp. 3883-3910. ISSN 1726-4170 doi: https://doi.org/10.5194/bg-16-3883-2019",2019
85498,"Dirksen, M., Ronda, R. J., Theeuwes, N. E. and Pagani, G. A. (2019) Sky view factor calculations and its application in urban heat island studies. Urban Climate, 30. 100498. ISSN 2212-0955 doi: https://doi.org/10.1016/j.uclim.2019.100498",2019
89765,"Brooks, J., Liu, D., Allan, J. D., Williams, P. I., Haywood, J., Highwood, E. J., Kompalli, S. K., Babu, S. S., Satheesh, S. K., Turner, A. G. and Coe, H. (2019) Black carbon physical and optical properties across northern India during pre-monsoon and monsoon seasons. Atmospheric Chemistry and Physics, 19 (20). pp. 13079-13096. ISSN 1680-7316 doi: https://doi.org/10.5194/acp-19-13079-2019",2019
82488,"Vereecken, H., Weihermuller, L., Assouline, S., Šimůnek, J., Verhoef, A., Herbst, M., Archer, N. A. L., Mohanty, B., Montzka, C., Vanderborght, J., Balsamo, G., Bechtold, M., Boone, A., Chadburn, S., Cunz, M., Decharme, B., Ducharne, A., Ek, M., Garrigues, S., Goergen, K., Joachim, I., Kollet, S., Lawrence, D., Li, Q., Or, D., Swenson, S., de Vrese, P., Walko, R., Wu, Y. and Xue, Y. (2019) Infiltration from the pedon to global grid scales: an overview and outlook for land surface modelling. Vadose Zone Journal, 18 (1). pp. 1-53. ISSN 1539-1663 doi: https://doi.org/10.2136/vzj2018.10.0191",2019
81398,"Harrison, R. M., Beddows, D. C. S., Alam, M. S., Singh, A., Brean, J., Xu, R., Kotthaus, S. and Grimmond, S. (2019) Interpretation of particle number size distributions measured across an urban area during the FASTER campaign. Atmospheric Chemistry and Physics, 19 (1). pp. 39-55. ISSN 1680-7324 doi: https://doi.org/10.5194/acp-19-39-2019",2019
83035,"Tsiringakis, A., Steeneveld, G.‐J., Holtslag, A. A. M., Kotthaus, S. and Grimmond, S. (2019) On‐ and off‐line evaluation of the single‐layer urban canopy model in London summertime conditions. Quarterly Journal of the Royal Meteorological Society, 145 (721). pp. 1474-1489. ISSN 1477-870X doi: https://doi.org/10.1002/qj.3505",2019
84379,"Sun, T. and Grimmond, S. (2019) A Python-enhanced urban land surface model SuPy (SUEWS in Python, v2019.2): development, deployment and demonstration. Geoscientific Model Development, 12 (7). pp. 2781-2795. ISSN 1991-962X doi: https://doi.org/10.5194/gmd-12-2781-2019",2019
75734,"Ridley, J. K., Blockley, E. W., Keen, A. B., Rae, J. G. L., West, A. E. and Schroeder, D. (2018) The sea ice model component of HadGEM3-GC3.1. Geoscientific Model Development, 11 (2). pp. 713-723. ISSN 1991-9603 doi: https://doi.org/10.5194/gmd-11-713-2018",2018
73941,"Menon, A., Turner, A. G., Martin, G. M. and MacLachlan, C. (2018) Modelling the moistening of the free troposphere during the northwestward progression of Indian monsoon onset. Quarterly Journal of the Royal Meteorological Society, 144 (713). pp. 1152-1168. ISSN 1477-870X doi: https://doi.org/10.1002/qj.3281",2018
76307,"Ching, J., Mills, G., Bechtel, B., See, L., Feddema, J., Wang, X., Ren, C., Brousse, O., Martilli, A., Neophytou, M., Mouzourides, P., Stewart, I., Hanna, A., Ng, E., Foley, M., Alexander, P., Aliaga, D., Niyogi, D., Shreevastava, A., Bhalachandran, P., Masson, V., Hidalgo, J., Fung, J., Andrade, M., Baklanov, A., Dai, W., Milcinski, G., Demuzere, M., Brunsell, N., Pesaresi, M., Miao, S., Mu, Q., Chen, F. and Theeuwes, N. (2018) WUDAPT: an urban weather, climate and environmental modeling infrastructure for the Anthropocene. Bulletin of the American Meteorological Society, 99 (9). pp. 1907-1924. ISSN 1520-0477 doi: https://doi.org/10.1175/BAMS-D-16-0236.1",2018
76381,"Gough, H. L., Luo, Z., Halios, C. H., King, M.-F., Noakes, C. J., Grimmond, C. S. B., Barlow, J. F., Hoxey, R. and Quinn, A. D. (2018) Field measurement of natural ventilation rate in an idealised full-scale building located in a staggered urban array: comparison between tracer gas and pressure-based methods. Building and Environment, 137. pp. 246-256. ISSN 0360-1323 doi: https://doi.org/10.1016/j.buildenv.2018.03.055",2018
75601,"Liang, X., Miao, S., Li, J., Bornstein, R., Zhang, X., Gao, Y., Cao, X., Chen, F., Cheng, Z., Clements, C., Dabberdt, W., Ding, A., Ding, D., Dou, J. J., Dou, J. X., Dou, Y., Grimmond, C. S. B., Gonzalez-Cruz, J., He, J., Huang, M., Huang, X., Ju, S., Li, Q., Niyogi, D., Quan, J., Sun, J., Sun, J. Z., Yu, M., Zhang, J., Zhang, Y., Zhao, X., Zheng, Z. and Zhou, M. (2018) SURF: understanding and predicting urban convection and haze. Bulletin of the American Meteorological Society, 99 (7). pp. 1391-1413. ISSN 0003-0007 doi: https://doi.org/10.1175/BAMS-D-16-0178.1",2018
73171,"Lindberg, F., Grimmond, C. S. B., Gabey, A., Huang, B., Kent, C., Sun, T., Theeuwes, N., J�rvi, L., Ward, H., Capel-Timms, I., Chang, Y., Jonsson, P., Krave, N., Liu, D., Meyer, D., Olofson, K. F. G., Tan, J., W�stberg, D., Xue, L. and Zhang, Z. (2018) Urban Multi-scale Environmental Predictor (UMEP): an integrated tool for city-based climate services. Environmental Modelling and Software, 99. pp. 70-87. ISSN 1364-8152 doi: https://doi.org/10.1016/j.envsoft.2017.09.020",2018
82394,"Kerches Braghiere, R. (2018) Improving the treatment of vegetation canopy architecture in radiative transfer schemes. PhD thesis, University of Reading.",2018
71436,"Ward, H., Tan, Y. S., Gabey, A. M., Kotthaus, S. and Grimmond, C. S. B. (2018) Impact of temporal resolution of precipitation forcing data on modelled urban-atmosphere exchanges and surface conditions. International Journal of Climatology, 38 (2). pp. 649-662. ISSN 1097-0088 doi: https://doi.org/10.1002/joc.5200",2018
78893,"Liu, D., Grimmond, C. S. B., Tan, J., Ao, X., Peng, J., Cui, L., Ma, B., Hu, Y. and Du, M. (2018) A new model to downscale urban and rural surface and air temperatures evaluated in Shanghai, China. Journal of Applied Meteorology and Climatology, 57 (10). pp. 2267-2283. ISSN 1558-8424 doi: https://doi.org/10.1175/JAMC-D-17-0255.1",2018
78729,"Chrysoulakis, N., Grimmond, S., Feigenwinter, C., Lindberg, F., Gastellu-Etchegorry, J.-P., Marconcini, M., Mitraka, Z., Stagakis, S., Crawford, B., Olofson, F., Landier, L., Morrison, W. and Parlow, E. (2018) Urban energy exchanges monitoring from space. Scientific Reports, 8 (1). 11498. ISSN 2045-2322 doi: https://doi.org/10.1038/s41598-018-29873-x",2018
74261,"Williams, K. D., Copsey, D., Blockley, E. W., Bodas-Salcedo, A., Calvert, D., Comer, R., Davis., P., Graham, T., Hewitt, H. T., Hill, R., Hyder, P., Ineson, S., Johns, T. C., Keen, A. B., Lee, R. W., Megann, A., Milton, S. F., Rae, J. G. L., Roberts, M. J., Scaife, A. A., Schiemann, R., Storkey, D., Thorpe, L., Watterson, I. G., Walters, D. N., West, A., Wood, R. A., Woollings, T. and Xavier, P. K. (2018) The Met Office Global Coupled model 3.0 and 3.1 (GC3.0 & GC3.1) configurations. Journal of Advances in Modeling Earth Systems, 10 (2). pp. 357-380. ISSN 1942-2466 doi: https://doi.org/10.1002/2017MS001115",2018
73657,"Kent, C. W., Lee, K., Ward, H. C., Hong, J. W., Hong, J., Gatey, D. and Grimmond, S. (2018) Aerodynamic roughness variation with vegetation: analysis in a suburban neighbourhood and a city park. Urban Ecosystems, 21 (2). pp. 227-243. ISSN 1083-8155 doi: https://doi.org/10.1007/s11252-017-0710-1",2018
68868,"Peng, J., Grimmond, C. S. B., Fu, X. S., Chang, Y. Y., Zhang, G., Guo, J., Tang, C. Y., Gao, J., Xu, X. D. and Tan, J. G. (2017) Ceilometer based analysis of Shanghai’s boundary layer height (under rain and fog free conditions). Journal of Atmospheric and Oceanic Technology, 34 (4). pp. 749-764. ISSN 1520-0426 doi: https://doi.org/10.1175/JTECH-D-16-0132.1",2017
71108,"Sun, T., Wang, Z.-H., Oechel, W. and Grimmond, S. (2017) The Analytical Objective Hysteresis Model (AnOHM v1.0): methodology to determine bulk storage heat flux coefficients. Geoscientific Model Development, 10 (7). pp. 2875-2890. ISSN 1991-962X doi: https://doi.org/10.5194/gmd-10-2875-2017",2017
