Deployment ID,Instrument ID,Instrument serial,Type,Deployment name,Start date,End date
NA,NA,NA,NA,NA,UTC,UTC
415,:ref:`LDAUV`,:ref:`N1`,profile_complex,Core N UV,2017-08-08,2017-08-09
421,:ref:`LDAUV`,:ref:`N1`,profile_complex,Tall &amp; Target N UV,2017-07-31,2017-08-01
427,:ref:`LDAUV`,:ref:`N1`,profile_complex,No Tall N UV,2017-08-09,2017-08-09
415,:ref:`LDAUV`,:ref:`N2`,profile_complex,Core N UV,2017-08-08,2017-08-09
421,:ref:`LDAUV`,:ref:`N2`,profile_complex,Tall &amp; Target N UV,2017-07-31,2017-08-01
427,:ref:`LDAUV`,:ref:`N2`,profile_complex,No Tall N UV,2017-08-09,2017-08-09
415,:ref:`LDAUV`,:ref:`N3`,profile_complex,Core N UV,2017-08-08,2017-08-09
421,:ref:`LDAUV`,:ref:`N3`,profile_complex,Tall &amp; Target N UV,2017-07-31,2017-08-01
427,:ref:`LDAUV`,:ref:`N3`,profile_complex,No Tall N UV,2017-08-09,2017-08-09
415,:ref:`LDAUV`,:ref:`N4`,profile_complex,Core N UV,2017-08-08,2017-08-09
421,:ref:`LDAUV`,:ref:`N4`,profile_complex,Tall &amp; Target N UV,2017-07-31,2017-08-01
415,:ref:`LDAUV`,:ref:`N5`,profile_complex,Core N UV,2017-08-08,2017-08-09
421,:ref:`LDAUV`,:ref:`N5`,profile_complex,Tall &amp; Target N UV,2017-07-31,2017-08-01
427,:ref:`LDAUV`,:ref:`N5`,profile_complex,No Tall N UV,2017-08-09,2017-08-09
415,:ref:`LDAUV`,:ref:`N6`,profile_complex,Core N UV,2017-08-08,2017-08-09
421,:ref:`LDAUV`,:ref:`N6`,profile_complex,Tall &amp; Target N UV,2017-07-31,2017-08-01
427,:ref:`LDAUV`,:ref:`N6`,profile_complex,No Tall N UV,2017-08-09,2017-08-09
415,:ref:`LDAUV`,:ref:`N7`,profile_complex,Core N UV,2017-08-08,2017-08-09
421,:ref:`LDAUV`,:ref:`N7`,profile_complex,Tall &amp; Target N UV,2017-07-31,2017-08-01
427,:ref:`LDAUV`,:ref:`N7`,profile_complex,No Tall N UV,2017-08-09,2017-08-09
415,:ref:`LDAUV`,:ref:`D1`,profile_complex,Core N UV,2017-08-08,2017-08-09
417,:ref:`LDAUV`,:ref:`D1`,profile_complex,Core SE UV,2017-08-09,2017-08-10
425,:ref:`LDAUV`,:ref:`D1`,profile_complex,Increased heights SE UV,2017-08-10,2017-08-11
415,:ref:`LDAUV`,:ref:`D2`,profile_complex,Core N UV,2017-08-08,2017-08-09
417,:ref:`LDAUV`,:ref:`D2`,profile_complex,Core SE UV,2017-08-09,2017-08-10
425,:ref:`LDAUV`,:ref:`D2`,profile_complex,Increased heights SE UV,2017-08-10,2017-08-11
415,:ref:`LDAUV`,:ref:`D3`,profile_complex,Core N UV,2017-08-08,2017-08-09
